iter	Passed	Remaining
398	2264	3411
399	2266	3399
400	2267	3386
401	2268	3374
402	2269	3362
403	2270	3350
404	2272	3338
405	2273	3325
406	2274	3313
407	2276	3302
408	2277	3290
409	2278	3279
410	2279	3267
411	2281	3256
412	2282	3244
413	2284	3233
414	2285	3221
415	2286	3209
416	2287	3198
417	2290	3189
418	2292	3178
419	2293	3167
420	2294	3155
421	2296	3144
422	2297	3134
423	2299	3123
424	2300	3112
425	2301	3101
426	2303	3090
427	2305	3081
428	2306	3070
429	2308	3059
430	2309	3048
431	2310	3038
432	2311	3027
433	2313	3016
434	2314	3006
435	2315	2995
436	2316	2984
437	2318	2974
438	2320	2965
439	2322	2955
440	2323	2944
441	2324	2934
442	2325	2924
443	2326	2913
444	2327	2903
445	2329	2893
446	2330	2882
447	2331	2872
448	2332	2862
449	2335	2854
450	2336	2844
451	2338	2834
452	2339	2824
453	2340	2814
454	2341	2804
455	2342	2795
456	2344	2785
457	2345	2775
458	2346	2765
459	2347	2756
460	2349	2747
461	2350	2737
462	2352	2727
463	2353	2718
464	2354	2709
465	2355	2699
466	2357	2690
467	2358	2680
468	2359	2671
469	2360	2662
470	2364	2655
471	2366	2647
472	2369	2640
473	2371	2631
474	2372	2622
475	2374	2613
476	2375	2604
477	2378	2597
478	2380	2589
479	2382	2581
480	2383	2572
481	2385	2563
482	2386	2554
483	2388	2546
484	2389	2537
485	2391	2528
486	2393	2521
487	2395	2513
488	2396	2504
489	2397	2495
490	2399	2487
491	2400	2478
492	2401	2469
493	2402	2461
494	2404	2452
495	2405	2444
496	2406	2435
497	2409	2428
498	2410	2420
499	2411	2411
500	2412	2403
501	2414	2395
502	2415	2386
503	2416	2378
504	2417	2370
505	2419	2361
506	2420	2353
507	2421	2345
508	2424	2338
509	2425	2330
510	2426	2322
511	2427	2314
512	2429	2306
513	2430	2297
514	2431	2289
515	2432	2281
516	2434	2274
517	2435	2266
518	2436	2258
519	2439	2251
520	2440	2243
521	2441	2235
522	2442	2228
523	2444	2220
524	2445	2212
525	2446	2204
526	2447	2197
527	2449	2189
528	2450	2181
529	2451	2174
530	2454	2167
531	2455	2160
532	2456	2152
533	2457	2144
534	2459	2137
535	2460	2129
536	2461	2122
